id;name;host_id;host_name;neighbourhood;latitude;longitude;room_type;price;minimum_nights;number_of_reviews;last_review;reviews_per_month;calculated_host_listings_count;availability_365;neighbourhood_group
2539;Clean & quiet apt home by the park;2787;John;Kensington;40.64749000000001;-73.97237;Private room;149;1;9;2018-10-19;0.21;6;365;Brooklyn
2595;Skylit Midtown Castle;2845;Jennifer;Midtown;40.75362;-73.98376999999998;Entire home/apt;225;1;45;2019-05-21;0.38;2;355;Manhattan
3831;Cozy Entire Floor of Brownstone;4869;LisaRoxanne;Clinton Hill;40.68514;-73.95976;Entire home/apt;89;1;270;2019-07-05;4.64;1;194;Brooklyn
5022;Entire Apt: Spacious Studio/Loft by central park;7192;Laura;East Harlem;40.79851;-73.94399;Entire home/apt;80;10;9;2018-11-19;0.1;1;0;Manhattan
5099;Large Cozy 1 BR Apartment In Midtown East;7322;Chris;Murray Hill;40.74767;-73.975;Entire home/apt;200;3;74;2019-06-22;0.59;1;129;Manhattan
5121;BlissArtsSpace!;7356;Garon;Bedford-Stuyvesant;40.68688;-73.95596;Private room;60;45;49;2017-10-05;0.4;1;0;Brooklyn
5178;Large Furnished Room Near B'way ;8967;Shunichi;Hell's Kitchen;40.76489;-73.98493;Private room;79;2;430;2019-06-24;3.47;1;220;Manhattan
5203;Cozy Clean Guest Room - Family Apt;7490;MaryEllen;Upper West Side;40.80178;-73.96723;Private room;79;2;118;2017-07-21;0.99;1;0;Manhattan
5238;Cute & Cozy Lower East Side 1 bdrm;7549;Ben;Chinatown;40.71344000000001;-73.99037;Entire home/apt;150;1;160;2019-06-09;1.33;4;188;Manhattan
5295;Beautiful 1br on Upper West Side;7702;Lena;Upper West Side;40.80316;-73.96545;Entire home/apt;135;5;53;2019-06-22;0.43;1;6;Manhattan
5441;Central Manhattan/near Broadway;7989;Kate;Hell's Kitchen;40.76076;-73.98867;Private room;85;2;188;2019-06-23;1.5;1;39;Manhattan
6021;Wonderful Guest Bedroom in Manhattan for SINGLES;11528;Claudio;Upper West Side;40.79826;-73.96113000000003;Private room;85;2;113;2019-07-05;0.91;1;333;Manhattan
6090;West Village Nest - Superhost;11975;Alina;West Village;40.7353;-74.00525;Entire home/apt;120;90;27;2018-10-31;0.22;1;0;Manhattan
6848;Only 2 stops to Manhattan studio;15991;Allen & Irina;Williamsburg;40.70837;-73.95352;Entire home/apt;140;2;148;2019-06-29;1.2;1;46;Brooklyn
7097;Perfect for Your Parents + Garden;17571;Jane;Fort Greene;40.69169;-73.97185;Entire home/apt;215;2;198;2019-06-28;1.72;1;321;Brooklyn
7322;Chelsea Perfect;18946;Doti;Chelsea;40.74192;-73.99501;Private room;140;1;260;2019-07-01;2.12;1;12;Manhattan
7726;Hip Historic Brownstone Apartment with Backyard;20950;Adam And Charity;Crown Heights;40.67592;-73.94694;Entire home/apt;99;3;53;2019-06-22;4.44;1;21;Brooklyn
7801;Sweet and Spacious Brooklyn Loft;21207;Chaya;Williamsburg;40.71842;-73.95718000000002;Entire home/apt;299;3;9;2011-12-28;0.07;1;0;Brooklyn
8024;CBG CtyBGd HelpsHaiti rm#1:1-4;22486;Lisel;Park Slope;40.68069000000001;-73.97706;Private room;130;2;130;2019-07-01;1.09;6;347;Brooklyn
8025;CBG Helps Haiti Room#2.5;22486;Lisel;Park Slope;40.67989;-73.97798;Private room;80;1;39;2019-01-01;0.37;6;364;Brooklyn
8110;CBG Helps Haiti Rm #2;22486;Lisel;Park Slope;40.68001;-73.97865;Private room;110;2;71;2019-07-02;0.61;6;304;Brooklyn
8505;Sunny Bedroom Across Prospect Park;25326;Gregory;Windsor Terrace;40.65599;-73.97519;Private room;60;1;19;2019-06-23;1.37;2;85;Brooklyn
9357;Midtown Pied-a-terre;30193;Tommi;Hell's Kitchen;40.76715;-73.98533;Entire home/apt;150;10;58;2017-08-13;0.49;1;75;Manhattan
9657;Modern 1 BR / NYC / EAST VILLAGE;21904;Dana;East Village;40.7292;-73.98541999999998;Entire home/apt;180;14;29;2019-04-19;0.24;1;67;Manhattan
9668;front room/double bed;32294;Ssameer Or Trip;Harlem;40.82245;-73.95104;Private room;50;3;242;2019-06-01;2.04;3;355;Manhattan
9704;Spacious 1 bedroom in luxe building;32045;Teri;Harlem;40.81305;-73.95466;Private room;52;2;88;2019-06-14;1.42;1;255;Manhattan
9782;Loft in Williamsburg Area w/ Roof;32169;Andrea;Greenpoint;40.72219000000001;-73.93762;Private room;55;4;197;2019-06-15;1.65;3;284;Brooklyn
9783;back room/bunk beds;32294;Ssameer Or Trip;Harlem;40.8213;-73.95318;Private room;50;3;273;2019-07-01;2.37;3;359;Manhattan
10452;Large B&B Style rooms;35935;Angela;Bedford-Stuyvesant;40.6831;-73.95473;Private room;70;1;74;2019-05-12;0.66;2;269;Brooklyn
11708;Cute apt in artist's home;44145;Tyrome;Bushwick;40.70186;-73.92745;Entire home/apt;85;2;231;2019-06-22;1.96;2;22;Brooklyn
12048;LowerEastSide apt share shortterm 1;7549;Ben;Lower East Side;40.71401;-73.98917;Shared room;40;1;214;2019-07-05;1.81;4;188;Manhattan
12192;ENJOY Downtown NYC!;46978;Edward;East Village;40.7229;-73.98199;Private room;68;2;245;2019-06-21;2.08;2;96;Manhattan
12299;Beautiful Sunny Park Slope Brooklyn;47610;Abdul;South Slope;40.66278;-73.97966;Entire home/apt;120;3;15;2019-05-27;0.39;1;345;Brooklyn
12303;1bdr w private bath. in lofty apt;47618;Yolande;Fort Greene;40.69673;-73.97584;Private room;120;7;25;2018-09-30;0.23;1;311;Brooklyn
12318;West Side Retreat;16800;Cyn;Upper West Side;40.79009;-73.97927;Private room;135;4;81;2019-06-16;0.69;1;273;Manhattan
12343;BEST BET IN HARLEM;47727;Earl;Harlem;40.81175;-73.94478000000002;Entire home/apt;150;7;97;2019-06-13;0.84;1;309;Manhattan
12627;Entire apartment in central Brooklyn neighborhood.;49670;Rana;Prospect-Lefferts Gardens;40.65944;-73.96238000000002;Entire home/apt;150;29;11;2019-06-05;0.49;1;95;Brooklyn
12940;Charming Brownstone 3 - Near PRATT;50148;Adreinne;Bedford-Stuyvesant;40.68111;-73.95591;Entire home/apt;110;7;61;2019-05-25;0.52;1;265;Brooklyn
13050;bright and stylish duplex;50846;Jennifer;Bedford-Stuyvesant;40.68554;-73.9409;Entire home/apt;115;3;11;2017-01-01;0.1;1;0;Brooklyn
13394;Fort Greene brownstone ;52335;Alexander;Fort Greene;40.69142;-73.97376;Private room;80;3;135;2019-06-17;1.16;2;192;Brooklyn
13808;Blue Room for 2 in Brownstone for $1350 monthly;54275;JT And Tiziana;Bedford-Stuyvesant;40.68043;-73.93934;Private room;80;1;112;2019-06-16;1.01;3;251;Brooklyn
